module_code|event_code|channel|template_code|tmpl_exists|versions|active_versions|mappings|var_contract_rows|payload_schemas|test_scenarios|review_policies|send_policies|mapping_has_sender
APPEALS|APPEAL_RECEIVED_NOTICE|email|APPEALS_APPEAL_RECEIVED_EMAIL|t|1|0|1|0|1|1|0|0|t
APPEALS|HEARING_SCHEDULE_NOTICE|email|APPEALS_HEARING_SCHEDULE_EMAIL|t|1|0|1|0|0|0|0|0|t
APPEALS|INTERNAL_REVIEW_ASSIGNMENT_NOTICE|email|APPEALS_INTERNAL_REVIEW_ASSIGNMENT_EMAIL|t|1|0|1|0|0|0|0|0|t
APPEALS|REVIEW_DECISION_NOTICE|email|APPEALS_REVIEW_DECISION_EMAIL|t|1|0|1|0|0|0|0|0|t
BENEFITS|CLAIM_APPROVAL_NOTICE|email|BENEFITS_CLAIM_APPROVAL_EMAIL|t|1|0|1|0|0|1|0|0|t
BENEFITS|CLAIM_RECEIVED_NOTICE|email|BENEFITS_CLAIM_RECEIVED_EMAIL|t|1|0|1|0|0|0|0|0|t
BENEFITS|CLAIM_REJECTION_NOTICE|email|BENEFITS_CLAIM_REJECTION_EMAIL|t|1|0|1|0|0|0|0|0|t
BENEFITS|DOCUMENT_REQUEST_NOTICE|email|BENEFITS_DOCUMENT_REQUEST_EMAIL|t|1|0|1|0|0|0|0|0|t
BENEFITS|INTERNAL_CLAIM_REVIEW_NOTICE|email|BENEFITS_INTERNAL_CLAIM_REVIEW_EMAIL|t|1|0|1|0|0|0|0|0|t
BENEFITS|PAYMENT_PROCESSED_NOTICE|email|BENEFITS_PAYMENT_PROCESSED_EMAIL|t|1|0|1|0|0|0|0|0|t
COMM_HUB|ADMIN_TEST_NOTICE|email||f|0|0|1|0|0|0|1|1|t
COMM_HUB|LIVE_PROPOSAL_CREATED_NOTICE|email|COMM_HUB_LIVE_PROPOSAL_CREATED_EMAIL|t|1|0|1|0|0|0|0|0|t
COMM_HUB|OPERATOR_REHEARSAL_RESULT_NOTICE|email|COMM_HUB_OPERATOR_REHEARSAL_RESULT_EMAIL|t|1|0|1|0|1|1|0|0|t
COMPLIANCE|CASE_CLOSURE_NOTICE|email|COMPLIANCE_CASE_CLOSURE_EMAIL|t|1|0|1|0|0|0|0|0|t
COMPLIANCE|EMPLOYER_CASE_NOTICE|email|COMPLIANCE_EMPLOYER_CASE_NOTICE_EMAIL|t|1|0|1|0|0|0|0|0|t
COMPLIANCE|INSPECTION_SCHEDULE_NOTICE|email|COMPLIANCE_INSPECTION_SCHEDULE_EMAIL|t|1|0|1|0|0|0|0|0|t
COMPLIANCE|INTERNAL_CASE_STATUS_NOTICE|email|COMPLIANCE_INTERNAL_CASE_STATUS_EMAIL|t|1|0|1|0|0|0|0|0|t
COMPLIANCE|NON_COMPLIANCE_NOTICE|email|COMPLIANCE_NON_COMPLIANCE_NOTICE_EMAIL|t|1|0|1|0|0|0|0|0|t
COMPLIANCE|PENALTY_NOTICE|email|COMPLIANCE_PENALTY_NOTICE_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|APPLICATION_RECEIVED_NOTICE|email|EMPLOYER_REGISTRATION_APPLICATION_RECEIVED_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|APPROVAL_NOTICE|email|EMPLOYER_REGISTRATION_APPROVAL_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|DOCUMENT_REQUEST_NOTICE|email|EMPLOYER_REGISTRATION_DOCUMENT_REQUEST_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|INTERNAL_ACKNOWLEDGEMENT_NOTICE|email|EMPLOYER_REGISTRATION_INTERNAL_ACK_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|INTERNAL_APPROVAL_REVIEW_NOTICE|email|EMPLOYER_REGISTRATION_INTERNAL_APPROVAL_REVIEW_EMAIL|t|1|0|1|0|0|0|0|0|t
EMPLOYER_REGISTRATION|REJECTION_NOTICE|email|EMPLOYER_REGISTRATION_REJECTION_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|BENEFIT_APPLICATION_RECEIVED_NOTICE|email|INSURED_PERSON_BENEFIT_APPLICATION_RECEIVED_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|BENEFIT_STATUS_NOTICE|email|INSURED_PERSON_BENEFIT_STATUS_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|CONTRIBUTION_HISTORY_NOTICE|email|INSURED_PERSON_CONTRIBUTION_HISTORY_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|DOCUMENT_REQUEST_NOTICE|email|INSURED_PERSON_DOCUMENT_REQUEST_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|INTERNAL_PROFILE_REVIEW_NOTICE|email|INSURED_PERSON_INTERNAL_PROFILE_REVIEW_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|PROFILE_UPDATE_NOTICE|email|INSURED_PERSON_PROFILE_UPDATE_EMAIL|t|1|0|1|0|0|0|0|0|t
INSURED_PERSON|REGISTRATION_ACKNOWLEDGEMENT_NOTICE|email|INSURED_PERSON_REGISTRATION_ACK_EMAIL|t|1|0|1|0|0|0|0|0|t
LEGAL|APPEAL_NOTICE|email|LEGAL_APPEAL_NOTICE_EMAIL|t|1|0|1|0|0|0|1|0|t
LEGAL|DOCUMENT_SUBMISSION_NOTICE|email|LEGAL_DOCUMENT_SUBMISSION_EMAIL|t|1|0|1|0|0|0|0|0|t
LEGAL|HEARING_SCHEDULE_NOTICE|email|LEGAL_HEARING_SCHEDULE_EMAIL|t|1|0|1|0|0|0|1|0|t
LEGAL|INTERNAL|email|LEGAL_3_EMAIL|f|0|0|0|0|0|0|0|0|f
LEGAL|INTERNAL_CASE_ASSIGNMENT_NOTICE|email|LEGAL_INTERNAL_CASE_ASSIGNMENT_EMAIL|t|2|0|1|0|0|0|1|1|t
LEGAL|LEGAL_DECISION_NOTICE|email|LEGAL_DECISION_NOTICE_EMAIL|t|1|0|1|0|0|0|1|0|t
LEGAL|LEGAL_REVIEW_REQUIRED_NOTICE|email|LEGAL_REVIEW_REQUIRED_EMAIL|t|1|0|1|0|0|0|0|0|t
WORKFLOW|APPROVER_ASSIGNMENT_NOTICE|email|WORKFLOW_APPROVER_ASSIGNMENT_EMAIL|t|1|0|1|0|0|0|0|0|t
WORKFLOW|REQUESTER_STATUS_NOTICE|email|WORKFLOW_REQUESTER_STATUS_EMAIL|t|1|0|1|0|0|0|0|0|t
(41 rows)
